title,news_url,vedio_url
中部萬安演習她最紅！9頭身長髮美女飄仙氣　拉行李箱躲進火車站,https://www.ettoday.net/news/news/20220726/2302479.htm,https://www.ettoday.net/tools/player/962062-336680?title=%E4%B8%AD%E9%83%A8%E8%90%AC%E5%AE%89%E6%BC%94%E7%BF%92%E5%A5%B9%E6%9C%80%E7%B4%85%EF%BC%819%E9%A0%AD%E8%BA%AB%E9%95%B7%E9%AB%AE%E7%BE%8E%E5%A5%B3%E9%A3%84%E4%BB%99%E6%B0%A3%E3%80%80%E6%8B%89%E8%A1%8C%E6%9D%8E%E7%AE%B1%E8%BA%B2%E9%80%B2%E7%81%AB%E8%BB%8A%E7%AB%99&bid=boba_preroll_web&show_ad=1&uccu=3
滷味攤血案！醋男視訊亮槍嗆前妻「別靠他太近」　警搜山圍捕中,https://www.ettoday.net/news/news/20220726/2302468.htm,https://www.ettoday.net/tools/player/962067-336683?title=%E6%BB%B7%E5%91%B3%E6%94%A4%E8%A1%80%E6%A1%88%EF%BC%81%E9%86%8B%E7%94%B7%E8%A6%96%E8%A8%8A%E4%BA%AE%E6%A7%8D%E5%97%86%E5%89%8D%E5%A6%BB%E3%80%8C%E5%88%A5%E9%9D%A0%E4%BB%96%E5%A4%AA%E8%BF%91%E3%80%8D%E3%80%80%E8%AD%A6%E6%90%9C%E5%B1%B1%E5%9C%8D%E6%8D%95%E4%B8%AD&bid=boba_preroll_web&show_ad=1&uccu=3
賓士衝上人行道！換車道失控擊落女郵差　搜出78包毒咖啡慘了,https://www.ettoday.net/news/news/20220726/2302454.htm,https://www.ettoday.net/tools/player/961988-336669?title=%E8%B3%93%E5%A3%AB%E8%A1%9D%E4%B8%8A%E4%BA%BA%E8%A1%8C%E9%81%93%EF%BC%81%E6%8F%9B%E8%BB%8A%E9%81%93%E5%A4%B1%E6%8E%A7%E6%93%8A%E8%90%BD%E5%A5%B3%E9%83%B5%E5%B7%AE%E3%80%80%E6%90%9C%E5%87%BA78%E5%8C%85%E6%AF%92%E5%92%96%E5%95%A1%E6%85%98%E4%BA%86&bid=boba_preroll_web&show_ad=1&uccu=3
大里槍擊25歲男中彈！「痛苦爬行畫面曝」　爸急喊：我兒子被開槍,https://www.ettoday.net/news/news/20220726/2302369.htm,https://www.ettoday.net/tools/player/961981-336667?title=%E5%A4%A7%E9%87%8C%E6%A7%8D%E6%93%8A25%E6%AD%B2%E7%94%B7%E4%B8%AD%E5%BD%88%EF%BC%81%E3%80%8C%E7%97%9B%E8%8B%A6%E7%88%AC%E8%A1%8C%E7%95%AB%E9%9D%A2%E6%9B%9D%E3%80%8D%E3%80%80%E7%88%B8%E6%80%A5%E5%96%8A%EF%BC%9A%E6%88%91%E5%85%92%E5%AD%90%E8%A2%AB%E9%96%8B%E6%A7%8D&bid=boba_preroll_web&show_ad=1&uccu=3
BMW女酒駕追撞噴對向！遭撞轎車險衝水塘　樹蔭下騎士最衰,https://www.ettoday.net/news/news/20220726/2302380.htm,https://www.ettoday.net/tools/player/961965-336662?title=BMW%E5%A5%B3%E9%85%92%E9%A7%95%E8%BF%BD%E6%92%9E%E5%99%B4%E5%B0%8D%E5%90%91%EF%BC%81%E9%81%AD%E6%92%9E%E8%BD%8E%E8%BB%8A%E9%9A%AA%E8%A1%9D%E6%B0%B4%E5%A1%98%E3%80%80%E6%A8%B9%E8%94%AD%E4%B8%8B%E9%A8%8E%E5%A3%AB%E6%9C%80%E8%A1%B0&bid=boba_preroll_web&show_ad=1&uccu=3
官邸宴請機場幹部支持　國民黨市議員控告鄭文燦賄選,https://www.ettoday.net/news/news/20220726/2302434.htm,https://www.ettoday.net/tools/player/962008-336672?title=%E5%B8%82%E9%95%B7%E5%AE%98%E9%82%B8%E5%AE%B4%E5%AE%A2%E7%B1%B2%E6%94%AF%E6%8C%81%E6%9E%97%E6%99%BA%E5%A0%85%E3%80%80%E5%9C%8B%E6%B0%91%E9%BB%A8%E8%AD%B0%E5%93%A1%E6%8E%A7%E5%91%8A%E9%84%AD%E6%96%87%E7%87%A6%E8%B3%84%E9%81%B8%28%E6%9B%B4%29&bid=boba_preroll_web&show_ad=1&uccu=3
黔園第3代落網畫面曝！開賓士載妹還帶愛馬仕包　趴地上銬糗了,https://www.ettoday.net/news/news/20220726/2302361.htm,https://www.ettoday.net/tools/player/961953-336658?title=%E9%BB%94%E5%9C%92%E7%AC%AC3%E4%BB%A3%E8%90%BD%E7%B6%B2%E7%95%AB%E9%9D%A2%E6%9B%9D%EF%BC%81%E9%96%8B%E8%B3%93%E5%A3%AB%E8%BC%89%E5%A6%B9%E9%82%84%E5%B8%B6%E6%84%9B%E9%A6%AC%E4%BB%95%E5%8C%85%E3%80%80%E8%B6%B4%E5%9C%B0%E4%B8%8A%E9%8A%AC%E7%B3%97%E4%BA%86&bid=boba_preroll_web&show_ad=1&uccu=3
撞擊影片曝！特斯拉、CX-5路口猛撞零件噴飛　騎士目睹急剎,https://www.ettoday.net/news/news/20220726/2302385.htm,https://www.ettoday.net/tools/player/961950-336657?title=%E6%92%9E%E6%93%8A%E5%BD%B1%E7%89%87%E6%9B%9D%EF%BC%81%E7%89%B9%E6%96%AF%E6%8B%89%E3%80%81CX-5%E8%B7%AF%E5%8F%A3%E7%8C%9B%E6%92%9E%E9%9B%B6%E4%BB%B6%E5%99%B4%E9%A3%9B%E3%80%80%E9%A8%8E%E5%A3%AB%E7%9B%AE%E7%9D%B9%E6%80%A5%E5%89%8E&bid=boba_preroll_web&show_ad=1&uccu=3
山老鼠國有林班地盜伐肖楠！警遭撞負傷逮1人　1嫌翻車摸黑落跑,https://www.ettoday.net/news/news/20220726/2302364.htm,https://www.ettoday.net/tools/player/961957-336659?title=%E5%B1%B1%E8%80%81%E9%BC%A0%E5%9C%8B%E6%9C%89%E6%9E%97%E7%8F%AD%E5%9C%B0%E7%9B%9C%E4%BC%90%E8%82%96%E6%A5%A0%EF%BC%81%E8%AD%A6%E9%81%AD%E6%92%9E%E8%B2%A0%E5%82%B7%E9%80%AE1%E4%BA%BA%E3%80%801%E5%AB%8C%E7%BF%BB%E8%BB%8A%E6%91%B8%E9%BB%91%E8%90%BD%E8%B7%91&bid=boba_preroll_web&show_ad=1&uccu=3
快訊／特斯拉路口猛撞CX-5！2車慘狀曝　1女駕駛臉部掛彩,https://www.ettoday.net/news/news/20220726/2302359.htm,https://www.ettoday.net/tools/player/962095-336692?title=%E7%89%B9%E6%96%AF%E6%8B%89%E8%B7%AF%E5%8F%A3%E7%8C%9B%E6%92%9ECX-5%EF%BC%812%E8%BB%8A%E6%85%98%E7%8B%80%E6%9B%9D%E3%80%801%E5%A5%B3%E9%A7%95%E9%A7%9B%E8%87%89%E9%83%A8%E6%8E%9B%E5%BD%A9%28%E6%9B%B4%29&bid=boba_preroll_web&show_ad=1&uccu=3
